age,daily_screen_time,social_media_hours,study_hours,sleep_hours,notifications_per_day,focus_score,coffee_per_day,breaks_per_day,night_usage,distraction_score,addiction_level,productivity_score
21.0,5.95,2.81,2.61,7.377324511,290.2547416,100.0,2.0,1.0,0.0,7.852,1,29.58783357
34.0,3.82,2.33,0.28,7.612688686,270.571074,93.65,1.0,3.0,0.0,7.146,1,17.32066523
29.0,3.57,1.64,5.21,6.14329788,134.0542188,100.0,0.0,5.0,0.0,2.962,0,75.18397969
25.0,10.27,4.37,4.28,4.012145061,233.0198335,94.71,2.0,2.0,1.0,8.791,1,31.1331609
22.0,2.42,1.6,3.67,6.953253459,19.38179085,100.0,0.0,3.0,0.0,0.669,0,54.64067622
35.0,6.19,2.19,7.26,4.087177238,218.4635439,100.0,3.0,7.0,1.0,5.277,1,63.58149311
21.0,3.68,1.23,1.34,7.418676363,314.3990216,100.0,1.0,4.0,0.0,7.358,0,31.44634113
33.0,10.79,5.65,0.08,7.547758674,148.4820584,100.0,0.0,2.0,1.0,8.331,2,5.809432728
37.0,7.57,5.54,0.59,8.513274869,107.2767234,94.43,0.0,4.0,1.0,5.228,2,5.33756583
25.0,7.0,2.73,1.79,5.000010608,31.72158807,100.0,3.0,3.0,0.0,2.038,1,44.34160683
25.0,7.02,3.89,0.27,6.054330912,188.0112038,93.1,1.0,3.0,1.0,7.249,1,-3.02738962
38.0,9.31,5.95,4.02,5.901552553,261.5871344,88.88,0.0,4.0,1.0,8.729,2,22.16619191
35.0,11.58,6.01,2.51,8.529390563,81.53294874,100.0,0.0,4.0,1.0,7.177,2,12.48840254
18.0,4.2,3.62,1.44,6.198726299,104.4785605,100.0,0.0,4.0,0.0,3.708,1,5.420215478
22.0,10.86,3.62,6.0,4.658832381,32.15046365,100.0,2.0,8.0,1.0,4.11,1,57.78245906
38.0,11.34,7.98,1.64,6.936100539,79.57927659,77.17,1.0,4.0,1.0,6.338,1,2.322019206
17.0,11.16,9.32,5.5,7.234007488,88.20890467,99.17,1.0,9.0,1.0,5.81,2,22.15719681
36.0,8.35,6.53,2.79,7.276601627,93.36230388,100.0,2.0,2.0,1.0,5.738,2,1.516262499
35.0,8.3,3.41,4.09,7.726833399,150.3840378,100.0,0.0,4.0,1.0,6.123,1,33.93174521
16.0,6.03,2.88,7.47,5.190898146,117.5222844,100.0,3.0,6.0,1.0,3.014,1,64.9555959
